facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year
Facility,F,VIC,468930.0,101.0,787.0,888,0.0,Wind,2024
Bald Hills Wind Farm Pty Ltd,F,VIC,320783.0,40.0,619.0,659,0.0,Wind,2024
Beryl Solar Farm,F,NSW,192828.0,52.0,563.0,615,0.0,Solar,2024
Manildra Solar Farm,F,NSW,47546.0,21.0,148.0,169,0.0,Solar,2024
Warradarge Wind Farm,F,WA,629934.0,178.0,522.0,700,0.0,Wind,2024
Gullen Solar Pty Ltd,F,NSW,19818.0,3.0,34.0,37,0.0,Solar,2024
New Gullen Range Wind Farm Pty Ltd,F,NSW,400938.0,56.0,421.0,477,0.0,Wind,2024
Newtricity Developments Biala Pty Ltd,F,NSW,325153.0,24.0,1232.0,1256,0.0,Wind,2024
Yarnima Power Station,F,WA,805805.0,347643.0,0.0,347643,0.43,Gas,2024
Bluewaters Power 1,F,WA,1517623.0,1352311.0,900.0,1353211,0.89,Black Coal,2024
Bluewaters Power 2,F,WA,1370375.0,1238252.0,1835.0,1240087,0.9,Black Coal,2024
Callide B Power Station,F,QLD,4273452.0,4004358.0,23803.0,4028161,0.94,Black Coal,2024
Chinchilla BESS,F,QLD,0.0,0.0,0.0,0,0.0,Battery,2024
Kogan Creek Power Station,F,QLD,5478078.0,4520575.0,1897.0,4522472,0.83,Black Coal,2024
Canunda Wind Farm,F,SA,97427.0,17.0,95.0,112,0.0,Wind,2024
Broadwater Power Plant,F,NSW,154431.0,4722.0,1676.0,6398,0.03,Wood,2024
Condong Power Plant,F,NSW,145472.0,3943.0,1607.0,5550,0.03,Wood,2024
Facility,F,VIC,73823.0,27.0,83.0,110,0.0,Wind,2024
White Rock Wind Farm Pty Ltd,F,NSW,433264.0,58.0,398.0,456,0.0,Wind,2024
Cherry Tree Wind Farm Pty Ltd,F,VIC,176338.0,20.0,451.0,471,0.0,Wind,2024
Glenrowan Solar Farm Pty Ltd,F,VIC,86505.0,5.0,838.0,843,0.0,Solar,2024
Clare Solar Farm,F,QLD,151781.0,65.0,706.0,771,0.0,Solar,2024
