powerStation,state,postcode,MWCapacity,fuelSource,Accreditation start date,Approval date,inSheet,Committed Date (Month/Year)
Hillwood Berries - SOLAR - QLD,QLD,4670.0,0.2679,Solar,2025-06-16,2025-07-14,Approved,
Bunnings Hoppers Crossing - Solar - VIC,VIC,3029.0,0.1802,Solar,2025-06-30,2025-07-17,Approved,
Energy Bay - Leppington BP - WH2- Solar- NSW,NSW,2179.0,0.4385,Solar,2025-05-29,2025-07-17,Approved,
GPE SURYA ENTERPRISES GOLD COAST - Solar w SGU - VIC,VIC,3925.0,0.1989,Solar,2025-07-02,2025-07-17,Approved,
Greentech 7 Solar Farm & BESS - Solar - VIC,VIC,3380.0,8.5068,Solar,2025-02-12,2025-07-17,Approved,
Minter Magic Packing Shed Iraak - Solar w SGU - VIC,VIC,3494.0,0.1998,Solar,2025-05-27,2025-07-17,Approved,
Seventh-Day Adventist Aged Care Greater Sydney Ltd - Solar w SGU - NSW,NSW,2147.0,0.1544,Solar,2025-06-30,2025-07-17,Approved,
Treeby Parklands Care Community - Solar w SGU - WA,WA,6164.0,0.2296,Solar,2025-07-02,2025-07-17,Approved,
Western Port Bay Care Community - Solar w SGU - VIC,VIC,3913.0,0.1997,Solar,2025-07-01,2025-07-17,Approved,
Bunnings Ballarat - Solar - VIC,VIC,3350.0,0.1802,Solar,2025-06-26,2025-07-18,Approved,
