facilityName,type,state,electricityProductionMwh,scope1tCO2e,scope2tCO2e,totalEmissionstCO2e,emissionIntensitytMwh,primaryFuel,year,lat,lng
Lake Echo Hydro Power Station,F,TAS,33554.0,0.0,21.0,21,0.0,Hydro,2015,-42.1581419,146.6456158
Lake Margaret Lower Hydro Power station,F,TAS,5676.0,0.0,3.0,3,0.0,Hydro,2015,-42.004734,145.5437696
Lake Margaret Upper Hydro Power Station,F,TAS,47259.0,0.0,1.0,1,0.0,Hydro,2015,-42.0039252,145.5442864
Lemonthyme Hydro Power Station,F,TAS,257353.0,0.0,55.0,55,0.0,Hydro,2015,-41.5198249,146.0996551
Liapootah Hydro Power Station,F,TAS,414345.0,0.0,467.0,467,0.0,Hydro,2015,-42.3182578,146.4726908
Mackintosh Hydro Power Station,F,TAS,341090.0,0.0,776.0,776,0.0,Hydro,2015,-42.0409059,146.8087322
Meadowbank Hydro Power Station,F,TAS,44148.0,0.0,56.0,56,0.0,Hydro,2015,-42.6362629,146.8488872
Paloona Hydro Power Station,F,TAS,93079.0,0.0,45.0,45,0.0,Hydro,2015,-41.2581401,146.2699943
Parangana Hydro Power Station,F,TAS,4185.0,0.0,0.0,0,0.0,Hydro,2015,-41.630016,146.2200452
Poatina Hydro Power Station,F,TAS,1055099.0,0.0,1994.0,1994,0.0,Hydro,2015,-41.7958243,146.9610493
Reece Hydro Power Station,F,TAS,915293.0,0.0,1976.0,1976,0.0,Hydro,2015,-41.725106,145.1349868
Repulse Hydro Power Station,F,TAS,139043.0,0.0,10.0,10,0.0,Hydro,2015,-42.528477,146.5060043
Rowallan Hydro Power Station,F,TAS,23586.0,0.0,8.0,8,0.0,Hydro,2015,-42.0409059,146.8087322
Tamar Valley Power Station,F,TAS,17672.0,9276.0,2570.0,11846,0.52,Gas,2015,-41.1399392,146.9056309
Tarraleah Hydro Power Station,F,TAS,632011.0,0.0,102.0,102,0.0,Hydro,2015,-42.301225,146.4503471
Tods Corner Hydro Power Station,F,TAS,5759.0,0.0,3.0,3,0.0,Hydro,2015,-41.9695227,146.796318
Trevallyn Hydro Power Station,F,TAS,348919.0,0.0,80.0,80,0.0,Hydro,2015,-41.43540950000001,147.1197143
Tribute Hydro Power Station,F,TAS,219016.0,0.0,67.0,67,0.0,Hydro,2015,-42.0409059,146.8087322
Tungatinah Hydro Power Station,F,TAS,425202.0,0.0,156.0,156,0.0,Hydro,2015,-42.2967833,146.4566074
Wayatinah Hydro Power Station,F,TAS,242808.0,0.0,29.0,29,0.0,Hydro,2015,-42.3886455,146.4997426
Wilmot Hydro Power Station,F,TAS,114264.0,0.0,47.0,47,0.0,Hydro,2015,-41.388836,146.1772087
Challicum Hills Wind Farm,F,VIC,135426.0,93.0,0.0,93,0.0,Wind,2015,-37.3887311,143.0775131
Clements Gap Wind Farm,F,SA,171023.0,26.0,0.0,26,0.0,Wind,2015,-33.4809608,138.0987163
Codrington Wind Farm,F,VIC,44698.0,24.0,0.0,24,0.0,Wind,2015,-38.2727138,141.9730619
Eildon Pondage Hydro,F,VIC,14728.0,0.0,0.0,0,0.0,Hydro,2015,-37.2425444,145.906002
Glenmaggie Hydro,F,VIC,6779.0,0.0,0.0,0,0.0,Hydro,2015,-37.8758087,146.7174832
Ord Hydro,F,WA,206140.0,18.0,0.0,18,0.0,Hydro,2015,-16.1200015,128.738173
Portland Wind Farms,F,VIC,412024.0,21.0,0.0,21,0.0,Wind,2015,-38.3644104,141.6251525
The Drop Hydro,F,NSW,7835.0,0.0,0.0,0,0.0,Hydro,2015,-35.7764688,145.7529468
William Hovell Hydro,F,VIC,2961.0,0.0,0.0,0,0.0,Hydro,2015,-36.9252158,146.3894175
Yambuk Wind Farm,F,VIC,90241.0,107.0,0.0,107,0.0,Wind,2015,-38.2991878,142.0269704
Alinta Wind Farm,F,WA,330634.0,47.0,624.0,671,0.0,Wind,2015,-28.9024923,114.8927165
Capital East Solar Farm,F,NSW,191.0,0.0,8.0,8,0.0,Solar,2015,-31.2532183,146.921099
Capital Wind Farm,F,NSW,328940.0,105.0,871.0,976,0.0,Wind,2015,-35.1878487,149.5241353
"Lake Bonney Stage 1,2 & 3 Wind Farm",F,SA,688314.0,88.0,888.0,976,0.0,Wind,2015,-34.2212234,140.4463218
Woodlawn Wind Farm,F,NSW,128464.0,33.0,186.0,219,0.0,Wind,2015,-35.1878364,149.524134
Kwinana Cogeneration Plant,F,WA,892266.0,462837.0,96.0,462933,0.52,Gas,2015,-31.9505048,115.8604867
Loy Yang B Power Station,F,VIC,8622021.0,9755875.0,1932.0,9757807,1.13,Brown Coal,2015,-38.2567843,146.5860271
Albury Renewable Energy Facility,F,NSW,7994.0,435.0,0.0,435,0.05,Landfill Gas,2015,-36.0751193,146.9094852
